enrollment_id,X_train_feature,dropout_train
1,0 114 2 6 8 0,1
2,1 22 1 2 3 4,1
3,2 47 5 9 6 7,0
4,3 163 2 4 6 46,1
5,4 2 1 1 2 0,1
6,5 1 1 1 1 0,1
7,6 8 1 1 3 1,1
8,7 186 9 6 53 35,1
9,8 9 1 1 2 2,1
10,0 5 1 1 2 1,1
11,9 30 2 2 5 8,1
12,7 78 4 5 17 0,0
13,10 34 4 4 8 8,0
14,11 1 1 1 1 0,1
15,12 9 1 2 6 1,1
16,13 43 3 5 5 8,1
17,14 170 6 9 16 43,0
18,15 92 4 11 2 29,1
19,0 9 1 1 1 1,1
20,16 1 1 1 1 0,1
21,17 1 1 1 1 0,1
22,11 54 7 7 12 2,0
23,2 1 1 1 4 1,1
24,0 6 1 1 2 1,1
25,18 96 6 9 13 26,1
26,2 47 2 4 4 2,1
27,7 192 7 5 13 39,0
28,16 10 2 3 10 0,1
29,18 26 2 2 8 5,1
30,19 13 4 5 6 2,1
31,20 20 2 3 6 4,1
32,9 29 1 2 5 5,1
33,0 12 1 1 2 2,1
34,18 31 2 6 5 6,1
35,4 113 2 11 12 33,0
36,5 514 9 11 17 53,1
37,18 8 2 2 4 1,1
38,1 7 2 2 3 1,1
39,21 36 3 7 11 4,1
40,11 13 1 1 1 1,1
41,3 11 1 1 5 0,1
42,11 10 1 1 3 0,1
43,22 1 1 1 1 0,1
44,0 10 1 2 2 1,1
45,1 6 1 1 2 1,1
46,9 96 3 5 11 21,1
47,1 2 1 1 2 0,1
48,16 848 15 15 39 60,1
49,3 25 2 6 2 7,0
50,23 11 1 2 3 2,1
51,0 2 1 1 2 0,1
52,9 2 1 1 2 0,1
53,0 34 4 2 5 5,1
54,11 1 1 1 1 0,1
55,7 11 1 1 5 0,0
56,3 17 3 5 11 0,0
57,4 134 20 12 16 29,0
58,7 49 3 3 11 7,1
59,9 93 5 5 6 22,1
60,15 188 4 4 5 39,1
61,7 1 1 1 1 0,1
62,24 25 1 1 6 4,1
63,15 225 9 6 15 61,0
64,25 14 1 1 12 0,1
65,9 27 2 3 2 7,1
66,21 2 1 1 2 0,1
67,0 5 1 2 1 1,1
68,21 2 1 1 2 0,1
69,1 8 1 1 3 2,1
70,4 11 1 1 3 2,1
71,15 8 1 2 2 2,1
72,3 11 2 2 3 1,1
73,11 1 1 1 1 0,1
74,15 67 4 6 15 16,1
75,18 94 5 5 8 19,0
76,23 18 1 2 6 2,1
77,18 9 1 1 2 2,0
78,2 1 1 1 1 0,1
79,26 63 3 5 9 15,1
80,22 1 1 1 1 0,1
81,7 12 1 1 5 2,1
82,22 10 1 1 4 1,1
83,4 1 1 1 1 0,1
84,16 13 1 1 13 0,1
85,21 16 1 1 6 3,1
86,10 3 3 3 3 0,1
87,4 130 6 12 31 2,0
88,11 17 1 1 3 3,1
89,7 1 1 4 3 6,1
90,27 5 1 1 2 0,1
91,9 56 1 2 9 12,1
92,28 44 1 2 17 8,1
93,1 28 5 6 8 7,1
94,4 3 2 2 3 0,1
95,11 12 1 1 2 1,1
96,11 20 1 2 2 4,1
